0,0, 0, 1, 0,0,0, 0.1, 0.1, 0.1, 0.5, 0.5, 0.5
0,0, 0, 1, 0,0,0, 0.1, 0.1, 0.1, 0.5, 0.5, 0.5
-1.3014e-06,1.37737e-06, -1.09661e-05, 1, 1.35591e-05,-0.000127572,4.45596e-05, 0.0999999, 0.0999991, 0.0999991, 0.499998, 0.499903, 0.499915
-1.1257e-06,-8.85697e-07, -1.24961e-05, 1, 3.4446e-06,-9.19983e-05,3.64186e-05, 0.0999999, 0.0999978, 0.0999978, 0.499997, 0.499893, 0.499897
-1.5451e-06,-3.0114e-06, -1.87493e-05, 1, -8.02854e-05,0.000584726,4.92889e-06, 0.0999999, 0.0999973, 0.0999974, 0.499995, 0.499808, 0.499815
-5.6569e-06,-1.07914e-05, -2.89842e-05, 1, -8.73223e-05,0.00105105,-6.19141e-05, 0.0999997, 0.0999943, 0.0999945, 0.499986, 0.499701, 0.499716
-6.51055e-05,-1.29386e-05, -4.11467e-05, 1, 0.00017646,0.00140545,-0.000375152, 0.099994, 0.0999923, 0.0999905, 0.499464, 0.499444, 0.499325
-9.28363e-05,-1.5127e-05, -3.66512e-05, 1, -0.000565866,0.00117688,-0.000268753, 0.0999834, 0.0999864, 0.0999857, 0.49801, 0.499116, 0.49853
-0.000103705,-1.93929e-05, -4.24108e-05, 1, -0.00221855,0.000918043,0.000283343, 0.0999751, 0.0999783, 0.0999848, 0.497174, 0.499015, 0.498218
-0.000189725,-2.06033e-05, -5.27105e-05, 1, -0.00479951,0.00178539,0.00268086, 0.0999652, 0.099968, 0.0999831, 0.496824, 0.498854, 0.497981
-0.000308438,-4.02607e-05, -4.68025e-05, 1, -0.00604731,0.00156641,0.00431537, 0.0999561, 0.0999599, 0.0999818, 0.496774, 0.49875, 0.4977
-0.000494545,-5.62041e-05, -2.88552e-05, 1, -0.00638145,0.00130666,0.0076586, 0.0999419, 0.099948, 0.0999781, 0.496491, 0.498467, 0.496854
-0.000757364,-8.03856e-05, -9.86693e-05, 1, -0.00208562,0.00298522,0.0165258, 0.0999149, 0.0999245, 0.0999615, 0.49579, 0.496799, 0.494819
-0.000986512,-7.05439e-05, -0.000178169, 0.999999, 0.000172919,0.00370329,0.0240392, 0.0998821, 0.0999091, 0.099946, 0.495132, 0.495849, 0.493473
-0.00121011,-3.823e-05, -0.000261412, 0.999999, -0.000592708,0.00405366,0.0272278, 0.0998419, 0.099896, 0.0999247, 0.494391, 0.495696, 0.492767
-0.00142036,4.0422e-06, -0.00035704, 0.999999, 0.00139691,0.00445244,0.0292935, 0.0997886, 0.0998895, 0.0998918, 0.493773, 0.495608, 0.492311
-0.00177196,4.3177e-05, -0.000514249, 0.999998, 0.00767658,0.00367547,0.0309769, 0.0997305, 0.099888, 0.0998549, 0.492938, 0.495392, 0.491927
-0.00195638,6.20138e-05, -0.000658984, 0.999998, 0.0104352,-0.00253946,0.0310455, 0.0996735, 0.0998739, 0.0998137, 0.492151, 0.493802, 0.490257
-0.00216856,5.08366e-05, -0.000746223, 0.999997, 0.00948077,-0.0112957,0.0363094, 0.0996235, 0.0998438, 0.0997792, 0.491634, 0.489142, 0.485894
-0.00226933,-2.74676e-05, -0.000897471, 0.999997, 0.00672338,-0.00824176,0.0468913, 0.099586, 0.0998001, 0.0997569, 0.491297, 0.482305, 0.479923
-0.00244066,-6.66396e-05, -0.000972827, 0.999997, 0.0043377,-0.00830312,0.0572264, 0.0995652, 0.0997717, 0.0997499, 0.491124, 0.477642, 0.476277
-0.00272022,-9.40994e-05, -0.00106051, 0.999996, 0.00185048,-0.00608265,0.0674723, 0.0995438, 0.0997408, 0.0997407, 0.49091, 0.474994, 0.474401
-0.00308783,-8.28631e-05, -0.00112803, 0.999995, -0.000251622,-0.00487029,0.0734308, 0.0995136, 0.0997076, 0.0997227, 0.490714, 0.473854, 0.473674
-0.00359923,1.21697e-05, -0.00122894, 0.999993, -0.00249678,-0.00356652,0.0783558, 0.0994619, 0.0996602, 0.0996887, 0.490645, 0.473069, 0.473384
-0.00443564,0.000162397, -0.00141277, 0.999989, -0.00286213,0.00154,0.0822285, 0.099384, 0.0995993, 0.0996373, 0.490635, 0.472443, 0.47325
-0.0052882,0.000353696, -0.00152298, 0.999985, -0.00144323,0.00493417,0.0840679, 0.0993042, 0.0995546, 0.0995713, 0.490617, 0.472061, 0.47321
-0.00626722,0.000521398, -0.00145751, 0.999979, 0.00251443,0.00514632,0.0778245, 0.0992195, 0.0995265, 0.0994963, 0.490506, 0.472038, 0.472843
-0.00703567,0.000645908, -0.00111898, 0.999974, 0.0119989,-0.00119084,0.0603552, 0.0991297, 0.0995157, 0.0994058, 0.489435, 0.471442, 0.470486
-0.0073503,0.000796444, -0.000518533, 0.999973, 0.0247435,-0.00765529,0.0319023, 0.0990142, 0.0995101, 0.0992968, 0.485173, 0.470329, 0.464919
-0.00736181,0.000969443, -2.56381e-05, 0.999972, 0.0344313,-0.00983503,-0.00279227, 0.0988705, 0.0995039, 0.0991814, 0.477147, 0.469149, 0.456494
-0.00689562,0.00115002, 0.000367673, 0.999975, 0.0267281,-0.0072231,-0.0423624, 0.0987355, 0.099493, 0.0990806, 0.467724, 0.466892, 0.446096
-0.00644245,0.00129469, 0.00071862, 0.999978, 0.0131849,-0.00251051,-0.0786433, 0.0986193, 0.099481, 0.0989787, 0.458814, 0.464027, 0.435864
